id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
483614,urban,1,0.83,45,daylight,rainy,True,True,evening,False,True,0,0.4
412186,urban,1,0.87,35,night,clear,True,True,evening,False,False,1,0.47
48976,rural,3,0.16,45,night,clear,True,True,evening,False,True,1,0.34
33569,urban,4,0.16,70,night,clear,True,False,evening,False,False,2,0.44
185848,urban,2,0.45,25,dim,foggy,True,True,morning,False,False,1,0.28
33150,rural,3,0.84,25,daylight,rainy,True,False,evening,False,False,1,0.34
75438,rural,4,0.09,70,daylight,clear,True,False,evening,False,False,1,0.12
296975,rural,3,0.49,35,daylight,foggy,False,True,afternoon,True,False,0,0.34
458488,highway,2,0.54,45,dim,foggy,False,False,morning,True,False,0,0.32
426304,rural,3,0.26,45,night,foggy,True,False,afternoon,False,True,1,0.27
220754,highway,2,0.68,60,daylight,rainy,True,True,afternoon,True,False,2,0.58
473556,urban,2,0.86,25,daylight,clear,True,False,evening,True,False,0,0.27
403137,urban,1,0.43,70,dim,foggy,False,False,afternoon,True,False,1,0.39
52689,rural,3,0.7,60,daylight,clear,True,True,afternoon,True,True,2,0.42
123119,rural,2,0.6,45,night,foggy,False,True,evening,True,True,3,0.63
357725,highway,4,0.43,60,daylight,clear,True,True,afternoon,True,False,2,0.34
374725,urban,4,0.2,25,night,foggy,False,True,evening,False,False,1,0.43
85912,rural,4,0.77,70,daylight,clear,False,True,morning,True,True,2,0.4
397750,urban,3,0.08,25,dim,clear,False,True,morning,True,True,0,0.08
261704,urban,1,0.26,35,daylight,foggy,True,False,evening,False,False,2,0.27
413774,rural,1,0.1,60,dim,clear,True,True,afternoon,False,True,0,0.16
67459,urban,1,0.58,70,daylight,foggy,False,False,morning,False,True,0,0.6
72869,urban,2,0.28,25,dim,foggy,False,True,morning,False,True,2,0.18
380830,rural,2,0.62,25,dim,rainy,False,True,evening,True,True,0,0.28
458752,rural,3,0.07,60,daylight,rainy,False,False,evening,False,False,0,0.2
158875,highway,3,0.19,70,daylight,clear,True,True,afternoon,False,False,1,0.23
181595,rural,2,0.36,60,daylight,rainy,True,False,afternoon,True,True,2,0.32
298118,highway,3,0.58,60,daylight,rainy,True,True,afternoon,False,False,2,0.43
299723,rural,3,0.06,70,dim,foggy,False,True,afternoon,True,False,1,0.25
119078,urban,3,0.63,45,night,rainy,True,True,morning,False,False,2,0.41
91382,urban,3,0.85,35,dim,clear,False,False,evening,False,False,0,0.33
7199,rural,2,0.57,25,night,clear,False,False,afternoon,False,False,0,0.35
148349,highway,2,0.53,45,dim,foggy,True,False,morning,False,True,3,0.34
293034,rural,1,0.22,35,night,rainy,True,True,morning,False,False,1,0.39
431414,highway,4,0.97,35,dim,rainy,True,False,afternoon,False,False,3,0.48
387327,highway,2,0.24,70,night,clear,False,False,evening,False,False,1,0.47
248206,highway,4,0.1,45,dim,clear,False,True,afternoon,True,True,0,0.04
167458,urban,4,0.53,60,dim,rainy,False,True,evening,True,True,3,0.61
434965,highway,4,0.8,60,daylight,foggy,False,True,morning,True,False,0,0.55
428809,rural,4,0.36,45,dim,foggy,False,True,morning,False,False,1,0.32
134542,urban,4,0.27,45,night,foggy,True,False,morning,False,False,1,0.2
311253,highway,4,0.91,25,daylight,clear,True,False,morning,True,True,0,0.23
206452,rural,2,0.17,35,night,clear,True,False,evening,True,False,2,0.15
30860,urban,3,0.66,35,night,foggy,True,True,afternoon,False,True,0,0.51
173036,highway,4,0.95,35,daylight,clear,True,False,afternoon,False,False,1,0.33
413188,highway,4,0.84,60,dim,rainy,False,True,evening,True,True,2,0.55
24038,urban,1,0.32,45,night,clear,True,False,morning,True,True,0,0.33
200421,rural,2,0.98,45,dim,clear,False,False,evening,False,False,2,0.32
213269,rural,2,0.16,70,daylight,foggy,False,False,afternoon,True,False,1,0.29
212526,urban,1,0.42,45,dim,clear,False,True,afternoon,False,False,1,0.15
72871,rural,2,0.18,35,dim,clear,False,True,morning,False,False,0,0.06
318229,urban,2,0.51,60,daylight,clear,True,True,evening,True,False,1,0.3
344394,rural,4,0.42,45,dim,rainy,True,True,afternoon,False,True,1,0.28
444689,rural,4,0.25,45,dim,foggy,True,True,evening,True,True,2,0.12
273362,urban,4,0.26,45,dim,rainy,False,True,morning,True,True,1,0.15
368357,highway,4,0.72,60,night,clear,False,False,evening,False,False,1,0.58
407952,urban,1,0.52,45,night,foggy,False,True,evening,False,True,0,0.39
474017,urban,3,0.22,25,dim,clear,False,False,afternoon,True,True,0,0.01
509754,highway,1,0.4,45,dim,clear,False,False,morning,True,True,1,0.07
161249,urban,4,0.15,35,dim,foggy,True,False,afternoon,False,False,2,0.15
140499,urban,4,0.75,70,daylight,clear,False,True,evening,True,False,0,0.42
172265,highway,1,0.69,25,night,foggy,True,True,evening,True,False,1,0.58
336248,highway,1,0.25,60,daylight,rainy,False,True,evening,False,True,2,0.46
471568,highway,4,0.2,45,night,clear,True,False,morning,False,False,1,0.28
71294,urban,3,0.47,35,dim,rainy,True,False,afternoon,True,True,1,0.24
195414,rural,3,0.14,45,dim,clear,False,True,evening,True,True,0,0.03
319930,highway,3,0.24,70,dim,rainy,False,True,evening,True,True,2,0.38
161350,highway,2,0.2,35,daylight,rainy,True,False,morning,True,True,2,0.21
289109,rural,4,0.06,60,daylight,foggy,True,False,morning,False,True,2,0.35
217731,rural,4,0.42,45,night,rainy,True,False,evening,True,False,1,0.42
166972,highway,2,0.15,45,night,clear,True,False,morning,False,False,1,0.34
242595,highway,4,0.35,45,dim,rainy,False,False,morning,False,True,1,0.17
470480,urban,4,0.52,45,dim,foggy,False,True,evening,False,False,1,0.28
193151,highway,1,0.85,60,dim,rainy,True,True,morning,True,False,0,0.56
24037,urban,3,0.55,70,night,clear,True,False,afternoon,False,True,0,0.61
255419,highway,2,0.65,35,daylight,foggy,True,True,morning,False,False,0,0.24
291362,highway,4,0.79,60,dim,clear,True,True,afternoon,True,False,2,0.48
288865,highway,4,0.13,35,dim,foggy,False,False,afternoon,True,True,0,0.19
502454,highway,2,0.11,25,dim,clear,True,True,afternoon,False,False,2,0.02
339494,highway,3,0.2,70,dim,rainy,False,True,evening,False,False,0,0.41
221159,urban,3,0.3,45,dim,clear,True,True,afternoon,False,False,1,0.08
76078,urban,2,0.53,60,night,clear,True,True,evening,False,False,0,0.59
149165,urban,2,1.0,25,night,rainy,False,True,evening,False,False,0,0.71
220895,highway,3,0.62,60,dim,clear,True,False,evening,False,False,1,0.41
340410,rural,2,0.37,60,dim,rainy,True,True,afternoon,True,False,1,0.44
189427,rural,3,0.07,25,daylight,rainy,True,True,afternoon,False,False,0,0.21
309986,urban,3,0.86,25,daylight,foggy,False,True,morning,False,False,0,0.37
425059,rural,3,0.76,35,night,rainy,False,True,morning,False,False,3,0.62
315380,urban,1,0.21,25,dim,foggy,False,False,afternoon,True,False,1,0.14
87938,urban,1,0.95,70,daylight,clear,False,True,evening,True,True,1,0.5
78098,rural,1,0.65,70,night,clear,True,True,afternoon,True,False,1,0.56
382872,urban,1,0.39,70,dim,rainy,True,False,morning,True,True,2,0.46
310141,urban,1,0.61,35,dim,clear,True,True,evening,False,False,0,0.24
480821,highway,3,0.1,70,dim,clear,True,True,morning,True,False,1,0.22
38979,highway,1,0.07,45,night,foggy,False,False,evening,True,False,1,0.2
143400,urban,1,0.92,45,dim,foggy,True,False,morning,True,False,2,0.34
264087,rural,4,0.0,70,night,rainy,True,True,afternoon,False,False,2,0.3
396142,urban,4,0.01,35,daylight,rainy,True,True,evening,False,True,1,0.02
258877,urban,4,0.85,45,dim,rainy,True,False,morning,True,False,0,0.34
224154,urban,2,0.1,45,night,clear,False,True,afternoon,False,False,0,0.24
191594,highway,2,0.15,45,dim,rainy,False,True,afternoon,True,False,2,0.18
283116,rural,4,0.43,45,daylight,foggy,False,True,afternoon,False,False,0,0.21
332549,urban,4,0.65,45,night,foggy,False,False,evening,True,True,0,0.65
97998,highway,2,0.61,25,night,foggy,True,False,morning,True,True,2,0.48
49990,highway,4,0.67,25,daylight,rainy,True,True,morning,False,True,1,0.32
296651,highway,2,0.45,70,daylight,clear,False,False,evening,False,False,0,0.25
129871,highway,2,0.67,45,night,rainy,True,True,afternoon,True,False,0,0.42
238529,rural,3,0.4,25,dim,clear,False,True,afternoon,False,True,1,0.16
37872,rural,1,0.4,60,daylight,clear,True,False,afternoon,False,True,1,0.33
433450,urban,2,0.15,70,dim,foggy,False,True,afternoon,False,True,0,0.47
244967,rural,3,0.34,45,dim,rainy,False,False,afternoon,True,True,1,0.15
275664,highway,2,0.55,45,daylight,foggy,True,False,afternoon,True,True,0,0.27
207882,urban,3,0.28,35,daylight,clear,False,True,afternoon,True,True,2,0.02
271007,urban,2,0.58,70,dim,clear,True,False,morning,True,True,1,0.27
465081,urban,4,0.63,35,night,clear,True,False,morning,False,False,1,0.41
333584,urban,1,0.82,35,dim,clear,False,False,evening,False,False,2,0.21
25828,urban,4,0.75,60,daylight,clear,True,True,afternoon,False,True,2,0.42
397699,highway,3,0.93,60,night,rainy,False,True,morning,True,False,0,0.74
86585,rural,2,0.37,35,night,rainy,False,True,afternoon,False,True,1,0.36
123226,urban,4,0.17,60,dim,foggy,False,False,evening,True,False,1,0.37
323339,urban,1,0.17,35,night,rainy,True,False,evening,True,False,1,0.39
147180,urban,3,0.63,25,daylight,foggy,True,True,evening,True,False,1,0.23
94824,highway,3,0.26,35,dim,clear,False,False,afternoon,True,False,0,0.08
276910,rural,4,0.64,25,night,rainy,False,True,afternoon,True,False,0,0.5
171014,urban,4,0.09,35,night,rainy,False,True,afternoon,False,False,3,0.1
39461,urban,4,0.27,60,daylight,rainy,True,True,evening,True,False,1,0.44
203277,highway,1,0.84,25,daylight,clear,True,False,afternoon,False,False,1,0.26
50400,highway,2,0.81,60,daylight,foggy,False,False,morning,True,False,2,0.53
119186,highway,4,0.68,35,daylight,foggy,True,False,evening,True,False,1,0.37
118705,rural,1,0.62,45,daylight,foggy,False,True,morning,True,False,2,0.32
107488,urban,2,0.28,35,daylight,rainy,False,True,evening,False,True,1,0.14
441562,rural,2,0.77,60,daylight,foggy,False,True,afternoon,False,False,0,0.58
18790,highway,1,0.68,35,dim,foggy,False,False,evening,False,False,2,0.34
393112,urban,2,0.74,25,daylight,rainy,False,False,evening,False,False,1,0.28
301230,urban,3,0.59,60,night,foggy,False,True,afternoon,False,False,0,0.69
141419,rural,1,0.22,35,night,rainy,False,False,afternoon,True,False,2,0.35
96678,urban,1,0.76,25,dim,clear,False,True,evening,False,True,0,0.24
193567,highway,1,0.86,70,dim,foggy,True,True,morning,True,False,1,0.55
432951,highway,1,0.87,70,dim,foggy,True,True,evening,False,False,0,0.47
462491,highway,1,0.15,35,night,foggy,False,True,evening,False,True,1,0.43
148060,highway,4,0.36,45,night,foggy,False,False,afternoon,True,True,1,0.38
147998,rural,2,0.98,60,dim,foggy,True,True,evening,True,False,1,0.53
63926,urban,2,0.47,45,night,clear,False,False,morning,True,False,2,0.39
39449,rural,4,0.67,25,dim,foggy,True,False,evening,True,True,2,0.28
103495,highway,3,0.08,35,daylight,foggy,True,True,afternoon,True,True,0,0.12
245695,urban,1,0.98,35,dim,foggy,True,False,evening,False,True,3,0.49
55704,highway,2,0.73,25,dim,foggy,False,True,morning,True,False,1,0.38
507420,urban,1,0.24,35,daylight,rainy,True,False,afternoon,False,True,1,0.17
338687,highway,2,0.76,70,daylight,foggy,False,True,morning,False,True,1,0.42
468180,highway,1,0.85,60,daylight,foggy,True,False,evening,False,False,3,0.76
206523,highway,4,0.28,35,daylight,clear,True,True,afternoon,True,False,0,0.02
328444,highway,1,0.57,45,night,foggy,True,False,evening,True,False,0,0.41
496256,urban,4,0.03,35,night,rainy,False,False,evening,True,False,2,0.21
136902,highway,1,0.74,70,daylight,foggy,True,False,morning,True,True,0,0.47
66231,urban,3,0.08,35,daylight,clear,True,False,evening,False,False,2,0.05
398771,rural,4,0.23,35,daylight,clear,True,False,afternoon,False,False,0,0.11
115812,urban,4,0.14,35,dim,foggy,False,True,afternoon,False,False,0,0.14
37223,highway,1,0.99,35,daylight,foggy,True,False,morning,False,False,3,0.48
431960,urban,2,0.63,60,dim,clear,False,False,morning,True,True,2,0.4
317688,highway,1,0.52,35,dim,rainy,False,False,morning,False,False,1,0.26
387496,highway,2,0.99,60,daylight,foggy,True,True,afternoon,True,False,2,0.56
244722,urban,3,0.78,25,night,rainy,True,False,afternoon,True,False,0,0.59
384931,highway,1,0.31,35,dim,rainy,True,False,afternoon,False,False,1,0.17
440859,rural,1,0.62,70,daylight,rainy,True,True,afternoon,True,True,3,0.57
447376,urban,1,0.29,60,daylight,clear,True,True,morning,True,False,1,0.34
46661,rural,3,0.33,35,night,clear,False,False,afternoon,True,True,1,0.28
158881,urban,1,0.57,25,dim,rainy,False,False,afternoon,True,False,1,0.3
464608,urban,1,0.21,25,daylight,clear,False,False,afternoon,False,True,0,0.02
345567,urban,1,0.03,60,dim,foggy,False,True,evening,False,True,1,0.39
481309,urban,2,0.82,35,night,foggy,False,True,afternoon,False,False,2,0.6
51540,urban,2,0.49,45,dim,clear,False,True,afternoon,True,True,0,0.13
372372,highway,2,0.9,70,daylight,foggy,False,True,morning,True,False,2,0.46
244324,urban,2,0.67,45,dim,rainy,True,True,evening,False,True,3,0.46
307032,urban,4,0.65,70,night,foggy,True,False,evening,True,False,0,0.53
302257,urban,4,0.89,45,daylight,foggy,True,False,evening,True,True,2,0.36
487180,rural,1,0.7,60,night,clear,True,True,morning,False,False,2,0.82
64020,rural,4,0.07,25,daylight,rainy,False,True,afternoon,True,False,2,0.19
64783,rural,1,0.51,45,dim,clear,True,False,morning,False,True,2,0.19
344136,rural,4,0.51,25,dim,rainy,True,False,morning,True,True,2,0.21
411607,highway,3,0.63,60,dim,clear,True,False,morning,True,True,1,0.34
25783,urban,2,0.59,60,night,clear,True,True,morning,False,False,2,0.55
61616,rural,3,0.12,25,night,rainy,True,True,morning,False,False,1,0.33
403928,rural,4,0.51,60,daylight,clear,True,True,afternoon,False,False,1,0.21
374954,rural,1,0.81,25,daylight,rainy,False,True,evening,True,False,1,0.35
113233,urban,2,0.37,60,daylight,clear,False,True,evening,True,False,2,0.32
358907,highway,1,0.11,25,night,clear,False,False,evening,True,True,1,0.29
388560,urban,2,0.49,25,daylight,rainy,True,False,morning,False,True,2,0.2
32782,rural,4,0.98,60,night,rainy,False,True,morning,True,True,4,0.86
276375,urban,4,0.75,35,dim,foggy,False,False,morning,False,True,0,0.43
208279,rural,4,0.14,70,night,clear,True,False,afternoon,False,True,0,0.41
19727,rural,3,0.77,45,dim,foggy,True,False,evening,True,True,0,0.36
260574,highway,2,0.12,25,night,rainy,True,False,evening,False,True,1,0.34
48030,rural,3,0.63,60,daylight,clear,False,True,afternoon,False,True,2,0.45
466713,urban,3,0.55,60,dim,foggy,True,False,evening,True,True,2,0.58
182647,rural,2,0.53,70,dim,clear,False,False,afternoon,True,True,1,0.46
216555,urban,1,0.38,70,dim,foggy,True,True,morning,False,True,0,0.43
43181,rural,1,0.08,60,daylight,foggy,True,False,morning,True,True,2,0.31
327887,highway,1,0.16,45,night,clear,False,False,afternoon,False,False,2,0.26
304226,rural,4,0.45,60,dim,rainy,True,False,morning,False,True,0,0.32
382632,rural,4,0.78,70,night,foggy,False,False,evening,True,False,2,0.66
348686,urban,2,0.74,25,night,foggy,True,False,evening,True,True,2,0.46
342317,highway,4,0.52,70,daylight,clear,False,False,evening,False,True,2,0.31
295516,highway,1,0.25,45,daylight,foggy,True,False,evening,False,True,0,0.22
152965,urban,4,0.47,45,dim,foggy,True,False,evening,False,True,0,0.28
466976,highway,3,0.8,60,dim,foggy,True,False,evening,True,True,2,0.51
205447,highway,4,0.7,45,night,clear,True,False,evening,True,True,1,0.41
266355,highway,2,0.87,45,daylight,rainy,False,True,morning,False,False,0,0.34
77381,highway,3,0.6,25,daylight,foggy,True,True,evening,False,True,1,0.35
367814,rural,1,0.15,70,dim,rainy,False,True,afternoon,True,True,0,0.39
162888,highway,2,0.91,45,daylight,foggy,True,True,morning,True,False,1,0.37
24057,rural,3,0.24,60,dim,foggy,False,False,evening,False,True,0,0.33
58446,highway,4,0.43,25,night,rainy,True,False,afternoon,True,True,0,0.37
220251,rural,3,0.08,25,night,foggy,False,False,afternoon,False,False,0,0.35
66659,urban,4,0.63,25,dim,clear,False,True,evening,False,True,1,0.15
468348,rural,3,0.43,60,daylight,rainy,True,True,evening,False,False,0,0.44
139844,urban,1,0.57,25,daylight,clear,True,False,evening,True,True,1,0.17
195117,highway,1,0.16,35,night,clear,True,True,afternoon,True,True,2,0.35
361783,rural,2,0.6488,45,daylight,rainy,True,True,afternoon,False,True,3,0.39
214893,urban,1,0.45,45,dim,rainy,True,True,morning,True,True,0,0.17
157682,highway,2,0.95,60,daylight,clear,True,False,afternoon,True,False,2,0.51
268133,urban,4,0.34,35,daylight,foggy,False,False,morning,False,True,2,0.21
50935,highway,2,0.64,60,daylight,foggy,True,False,morning,False,False,0,0.5
127049,highway,1,0.54,45,night,foggy,False,False,morning,True,False,3,0.58
173592,urban,2,0.66,25,night,foggy,True,True,afternoon,False,False,3,0.6
309755,highway,4,0.03,60,dim,foggy,True,True,evening,True,True,1,0.25
252179,highway,3,0.36,60,night,clear,True,True,evening,False,False,2,0.56
229099,urban,1,0.16,60,daylight,rainy,False,True,evening,False,False,1,0.41
121396,rural,3,0.35,70,dim,clear,True,True,morning,True,False,2,0.29
236552,rural,1,0.58,35,night,foggy,False,True,morning,True,True,2,0.54
141178,rural,1,0.14,70,daylight,foggy,False,False,afternoon,False,True,0,0.29
69264,rural,4,0.6,70,night,clear,False,True,evening,True,True,2,0.65
142291,highway,3,0.15,45,night,foggy,True,False,afternoon,False,True,1,0.36
154971,rural,1,0.89,45,dim,rainy,True,True,evening,False,True,3,0.44
249623,urban,1,0.8,70,night,foggy,False,False,morning,True,False,4,0.87
284378,rural,4,0.4,25,night,clear,False,True,afternoon,False,True,1,0.36
277862,urban,2,0.59,60,daylight,clear,False,False,evening,True,True,1,0.38
115918,urban,2,0.52,60,daylight,clear,True,True,evening,True,False,0,0.44
53153,rural,2,0.17,25,daylight,clear,False,False,afternoon,False,True,1,0.02
490693,urban,1,0.59,60,night,rainy,True,True,morning,True,False,1,0.67
165871,urban,3,0.12,45,daylight,foggy,False,False,afternoon,False,False,1,0.09
41246,rural,1,0.43,45,dim,rainy,False,True,morning,False,True,1,0.25
485055,highway,1,0.5,45,daylight,foggy,False,True,afternoon,False,True,0,0.29
191924,rural,4,0.24,60,dim,rainy,False,False,afternoon,False,True,1,0.37
463350,rural,3,0.62,45,daylight,clear,False,False,morning,False,False,0,0.17
403513,rural,3,0.88,60,night,clear,True,False,afternoon,False,True,3,0.72
356063,highway,3,0.05,45,daylight,clear,True,True,morning,False,False,1,0.04
477372,urban,2,0.76,45,daylight,foggy,True,True,morning,False,True,1,0.27
119325,rural,1,0.12,70,dim,clear,False,False,evening,True,False,0,0.26
23467,urban,3,0.8,45,night,clear,False,True,evening,False,False,2,0.39
160970,rural,4,0.68,25,daylight,rainy,True,False,afternoon,True,True,2,0.34
186433,highway,4,0.61,60,dim,foggy,False,True,morning,False,False,0,0.44
255382,rural,4,0.37,70,night,clear,True,False,evening,True,True,1,0.46
325595,highway,3,0.73,70,dim,clear,True,True,evening,False,False,1,0.42
214761,highway,1,0.16,45,daylight,clear,False,False,afternoon,True,False,2,0.09
262848,rural,2,0.66,25,night,foggy,True,True,evening,True,False,3,0.57
77554,rural,1,0.58,45,night,clear,False,False,evening,True,True,1,0.3
505285,rural,2,0.44,60,dim,foggy,False,False,evening,False,False,1,0.52
256493,highway,1,0.1,35,dim,clear,True,True,afternoon,True,True,1,0.04
476691,rural,1,0.6,60,dim,rainy,True,False,morning,True,False,0,0.53
27142,highway,3,0.13,35,dim,foggy,False,False,afternoon,True,False,2,0.16
506829,highway,4,0.79,25,daylight,clear,False,False,afternoon,True,False,1,0.22
6209,urban,4,0.43,70,dim,rainy,False,False,afternoon,True,False,2,0.47
295176,urban,1,0.9,45,daylight,foggy,False,True,morning,True,True,1,0.35
154031,rural,1,0.7,35,dim,foggy,False,False,evening,False,False,1,0.3
451250,rural,1,0.54,35,night,clear,True,False,afternoon,False,False,2,0.34
37400,urban,2,0.51,45,night,clear,False,True,afternoon,True,False,1,0.36
462087,highway,2,0.39,25,daylight,foggy,False,False,evening,True,True,1,0.18
34289,highway,2,0.07,60,daylight,clear,False,True,afternoon,False,False,2,0.22
372460,highway,2,0.01,35,dim,foggy,False,True,afternoon,True,False,2,0.08
59866,urban,1,0.77,45,daylight,rainy,True,False,evening,False,True,0,0.3
260072,urban,1,0.58,60,dim,rainy,False,True,evening,False,False,0,0.44
379625,rural,3,0.57,70,dim,foggy,False,True,evening,True,False,0,0.4
101385,rural,1,0.54,35,daylight,clear,False,False,afternoon,True,True,1,0.17
147946,urban,4,0.15,70,dim,foggy,False,True,afternoon,False,True,1,0.42
343931,highway,1,0.59,70,daylight,foggy,False,True,afternoon,False,True,3,0.6
360888,rural,4,0.89,45,dim,rainy,False,True,morning,True,False,3,0.56
247080,rural,2,0.67,35,dim,rainy,True,True,afternoon,False,False,0,0.28
213033,urban,3,0.4,35,night,clear,True,False,afternoon,True,True,1,0.25
251664,rural,2,0.55,35,daylight,foggy,True,True,afternoon,False,True,3,0.34
96341,urban,3,0.19,60,dim,foggy,True,False,evening,False,True,2,0.42
13040,urban,4,0.04,25,night,rainy,False,True,evening,False,True,2,0.26
356005,urban,2,0.04,45,dim,foggy,True,False,afternoon,True,False,2,0.15
435278,highway,4,0.09,35,night,clear,False,False,evening,True,True,1,0.22
131723,highway,2,0.84,25,dim,clear,False,False,afternoon,False,False,0,0.26
483384,urban,1,0.43,60,night,foggy,False,False,evening,False,True,1,0.62
13101,urban,3,0.85,35,daylight,foggy,True,False,morning,False,True,0,0.38
38490,urban,2,0.7,45,night,foggy,True,False,morning,False,False,0,0.56
36945,rural,2,0.52,70,night,rainy,False,False,evening,True,False,2,0.53
441538,urban,1,0.03,45,night,rainy,False,True,morning,True,False,0,0.31
238335,urban,3,0.66,70,night,clear,True,False,evening,False,False,1,0.59
335438,rural,4,0.28,35,daylight,clear,True,False,morning,False,True,1,0.04
206824,urban,2,0.47,60,dim,clear,True,True,evening,True,True,1,0.25
117422,urban,2,0.75,60,night,clear,True,True,afternoon,False,False,0,0.63
439208,rural,1,0.44,70,night,clear,True,True,evening,False,False,1,0.44
306575,rural,1,0.22,25,daylight,rainy,True,False,morning,True,True,0,0.19
110516,rural,4,0.99,25,dim,clear,True,False,morning,False,True,2,0.29
185186,urban,4,0.07,25,dim,foggy,True,False,afternoon,True,False,1,0.13
155293,rural,4,0.37,60,dim,rainy,False,False,afternoon,False,True,0,0.33
66409,urban,3,0.27,70,daylight,rainy,True,False,morning,False,True,1,0.39
181901,rural,2,0.52,60,night,clear,False,False,evening,False,False,2,0.51
182790,rural,1,0.84,25,daylight,foggy,True,False,afternoon,False,True,2,0.47
503990,rural,3,0.1,45,night,rainy,False,False,afternoon,True,False,0,0.27
66590,highway,1,0.12,70,daylight,clear,True,True,afternoon,False,True,2,0.22
357336,rural,1,0.55,45,dim,foggy,True,False,evening,False,False,1,0.27
340284,rural,1,0.52,60,night,rainy,False,True,evening,False,False,0,0.66
104018,highway,4,0.88,25,daylight,foggy,False,False,evening,False,True,3,0.38
274796,highway,4,0.82,60,daylight,foggy,False,True,morning,False,True,2,0.53
179449,highway,4,0.24,60,night,rainy,False,False,evening,True,True,1,0.61
332659,urban,2,0.27,45,night,rainy,False,False,afternoon,False,True,1,0.26
215326,highway,1,0.57,45,night,rainy,False,False,evening,True,False,1,0.41
198960,urban,1,0.26,25,night,clear,True,False,evening,True,True,0,0.25
142469,urban,3,0.82,45,night,rainy,True,True,morning,True,True,2,0.54
1114,urban,4,0.21,25,night,rainy,True,False,evening,False,False,1,0.34
168015,highway,2,0.36,35,daylight,foggy,False,True,afternoon,True,True,2,0.17
69778,rural,3,0.03,70,daylight,rainy,False,False,afternoon,False,False,0,0.22
253503,urban,2,0.96,35,daylight,foggy,True,True,morning,True,False,2,0.34
388478,urban,3,0.79,70,dim,clear,True,True,evening,False,True,2,0.48
373783,urban,2,0.33,60,dim,clear,True,False,afternoon,False,False,2,0.28
394748,urban,1,0.83,60,night,rainy,True,True,morning,False,True,2,0.75
347779,rural,4,0.08,35,daylight,clear,False,False,afternoon,True,False,1,0.02
35635,urban,1,0.65,45,night,foggy,False,False,afternoon,False,False,1,0.5
175756,rural,2,0.47,70,daylight,rainy,False,True,afternoon,False,True,1,0.43
164713,urban,1,0.27,25,daylight,rainy,False,True,morning,False,True,1,0.08
240753,urban,1,0.35,45,daylight,foggy,True,True,evening,False,True,1,0.16
